training_id,post_id,source_post_id,book_id,content,content_type,writing_style,genre,origin,label_reason
1,600023,,1161,Try this when you want thoughtful children's fiction. A gentle bear and his friends share small adventures in the Hundred Acre Wood.,recommendation,short,Children,generated_recommendation_v2,Explicitly advises another reader using diversified recommendation wording.
2,600134,,1017,i tell my friend give this a chance because it got real ideas an envoy struggles to understand a planet whose people do not have fixed genders. some part is messy but the consequence make it worth finish,recommendation,imperfect,Science Fiction,generated_recommendation_v2,Explicitly advises another reader using diversified recommendation wording.
3,500317,500317,1242,"I approached this knowing the broad history, yet the personal details changed how I understood it. The central material—a woman raised in an isolated survivalist family pursues schooling and rebuilds her understanding of the past—gave the cultural context a clear human focus. The wider implications helped connect the individual experience with larger events, although one important transition needed more explanation. I could predict the direction too early. The smaller observations carried more emotional weight than the broadest conclusions. The material stayed with me because it was specific enough to resist an easy conclusion. I also appreciated the moments when the account resisted an easy lesson and allowed uncertainty to remain part of the record. Whose perspective was missing from the account?",discussion,long,Biography Memoir,existing_post,Asks a question or directly requests another reader's opinion.
4,500139,500139,1228,"I read this during my commute, and the account of how trade routes across Asia are placed at the center of world history and cultural exchange gave the wider history a human scale. Whose perspective was missing from the account?",discussion,casual,History,existing_post,Asks a question or directly requests another reader's opinion.
5,501663,501663,1160,i really thought i could handle a story where a lonely orphan discovers a hidden garden and helps restore a household's hope. absolutely not 😭,review,slang,Children,existing_hard_negative,Expresses a reaction without advising another reader; added after a false recommendation prediction.
6,502662,502662,1178,"I took notes while reading, expecting a quick overview, but I ended up taking more notes than planned. The central explanation—long-term passion and persistence are examined as important parts of achievement—gave the limitations a clear direction. The real-world examples made the idea easier to understand, although the real-world examples moved from observation to conclusion too quickly for me. I lost patience with how long the conflict was delayed. Even where I disagreed, the language gave me a better way to identify the issue in ordinary life. I marked the most practical pages because they were immediately applicable, then marked several others because I wanted to verify them. The examples were useful, but do they apply outside the cases chosen?",discussion,long,Self Development,existing_post,Asks a question or directly requests another reader's opinion.
7,501885,501885,1041,i really thought i could handle a story where a medieval friar investigates deaths in an abbey filled with theological disputes and hidden texts. absolutely not 🫠,review,slang,Mystery Thriller,existing_hard_negative,Expresses a reaction without advising another reader; added after a false recommendation prediction.
8,600018,,1156,"A brilliant neglected child discovers unusual powers and challenges cruel adults. easy rec for the children's fiction crowd imo. it got messy but like, the interesting kind of messy.",recommendation,slang,Children,generated_recommendation_v2,Explicitly advises another reader using diversified recommendation wording.
9,500015,500015,1137,What stayed with me was the reaction to this situation: a journalist investigates a cursed videotape said to kill viewers after seven days. That made the emotional consequences feel personal rather than mechanical. It was interesting and frustrating in almost equal amounts.,review,polished,Horror Gothic,existing_post,Evaluates the story or argument without advising readership or inviting a response.
10,500055,500055,1029,I read this with my book club and immediately needed someone to discuss this with: a woman's disappearance turns her marriage into a public mystery shaped by lies and manipulation. Would the conflict have happened without that one avoidable decision?,discussion,casual,Mystery Thriller,existing_post,Asks a question or directly requests another reader's opinion.
