book_id,title,author,genre,description
1001,The Hobbit,J.R.R. Tolkien,Fantasy,"Bilbo Baggins leaves his comfortable home to help a company of dwarves reclaim a stolen kingdom. The story combines imaginative worldbuilding with questions of courage, power, and belonging. Its influence can be seen in later fiction, screen adaptations, and ongoing literary discussion."
1002,The Lord of the Rings,J.R.R. Tolkien,Fantasy,"A fellowship carries a dangerous ring toward destruction while war spreads across Middle-earth. Its magical setting supports conflicts about loyalty, identity, and the cost of ambition. Readers continue to value it for its memorable characters, distinctive atmosphere, and enduring questions."
1003,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"An orphan discovers that he is a wizard and begins school in a hidden magical world. Adventure and myth are used to test friendship, responsibility, and moral choice. The work has remained visible through international readership, teaching, adaptation, and word-of-mouth recommendation."
1004,A Game of Thrones,George R.R. Martin,Fantasy,"Noble families compete for power while an ancient danger returns beyond a northern wall. The story combines imaginative worldbuilding with questions of courage, power, and belonging. It is frequently revisited for the emotional force of its story and the different interpretations it supports."
1005,A Wizard of Earthsea,Ursula K. Le Guin,Fantasy,"A gifted young mage must confront the shadow released by his own pride. Its magical setting supports conflicts about loyalty, identity, and the cost of ambition. Its voice and central conflicts have helped it reach readers well beyond its original time and place."
1006,The Name of the Wind,Patrick Rothfuss,Fantasy,"A legendary musician and magician recounts the difficult path that made him famous. Adventure and myth are used to test friendship, responsibility, and moral choice. The book remains widely recommended because its story works both as entertainment and as social reflection."
1007,American Gods,Neil Gaiman,Fantasy,"An ex-convict becomes entangled in a conflict between old deities and modern forms of worship. The story combines imaginative worldbuilding with questions of courage, power, and belonging. Its influence can be seen in later fiction, screen adaptations, and ongoing literary discussion."
1008,The Way of Kings,Brandon Sanderson,Fantasy,"Soldiers, rulers, and scholars face war and supernatural change on a storm-battered world. Its magical setting supports conflicts about loyalty, identity, and the cost of ambition. Readers continue to value it for its memorable characters, distinctive atmosphere, and enduring questions."
1009,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,"Four siblings enter a frozen realm and join a struggle against an evil queen. Adventure and myth are used to test friendship, responsibility, and moral choice. The work has remained visible through international readership, teaching, adaptation, and word-of-mouth recommendation."
1010,The Fifth Season,N.K. Jemisin,Fantasy,"A mother searches for her daughter as a continent fractures under catastrophic geological forces. The story combines imaginative worldbuilding with questions of courage, power, and belonging. It is frequently revisited for the emotional force of its story and the different interpretations it supports."
